구,주유소명,주소,전화번호,상표,고급휘발유,휘발유,경유,실내등유,셀프,세차장,충전소,경정비,편의점,24시영업
강북구,수유동주유소,서울 강북구 도봉로 395 (수유동),02-902-9470,GS칼텍스,,"1,599","1,504",,Y,Y,N,N,N,Y
강북구,씨앤에스유통㈜ 미아셀프주유소,서울 강북구 도봉로 200 (미아동),02-945-7999,S-OIL,,"1,645","1,545",,Y,Y,N,N,N,N
강북구,에덴주유소,서울 강북구 월계로 195 (번동),02-987-8182,SK에너지,,"1,645","1,545",,Y,Y,N,Y,N,N
강서구,(주)타이거오일 방화주유소,서울 강서구 방화동로 58-2 (방화동),02-2662-0503,SK에너지,,"1,623","1,523","1,600",Y,N,N,N,N,N
강서구,(주)한진 김포공항제2주유소,서울 강서구 하늘길 112,02-2661-8892,S-OIL,,"1,714","1,624",,Y,N,N,N,N,N
강서구,(주)한진 김포공항주유소,서울 강서구 하늘길 259,02-2662-0422,S-OIL,,"1,650","1,560","1,600",Y,Y,N,N,N,N
강서구,HD현대오일뱅크㈜직영 가양주유소,서울 강서구  양천로 391 (가양동),02-3661-9470,HD현대오일뱅크,"1,909","1,699","1,629",,N,Y,N,N,N,N
강서구,HD현대오일뱅크㈜직영 양화교셀프주유소,서울 강서구 공항대로 653,02-3665-2004,HD현대오일뱅크,"1,889","1,669","1,584","1,539",Y,Y,N,N,N,N
강서구,KH에너지(주)직영 KH외발산주유소,서울 강서구 방화대로 30,032-677-9497,SK에너지,"1,955","1,635","1,535",,Y,Y,Y,Y,Y,N
강서구,SK KH에너지 가양주유소,서울 강서구 강서로 498 (가양동),02-3664-6051,SK에너지,"1,958","1,698","1,638",,N,Y,N,Y,Y,Y
강서구,강서열린주유소,서울 강서구 등촌로 213 (등촌동),02-2647-9091,GS칼텍스,,"1,638","1,548","1,600",N,Y,N,N,N,N
강서구,강서오곡셀프주유소,서울 강서구 벌말로 254 (오곡동),032-671-5186,SK에너지,,"1,611","1,493",,Y,Y,N,N,N,Y
강서구,개화주유소,서울 강서구 양천로 57,02-2661-5555,SK에너지,,"1,677","1,577",,Y,Y,N,N,N,N
강서구,뉴신정주유소,서울 강서구 곰달래로 207 (화곡동),02-2606-1149,알뜰주유소,,"1,619","1,519",,N,N,N,Y,N,N
강서구,대성석유(주) 관문주유소,서울 강서구 공항대로 314,02-3665-2051,GS칼텍스,"1,916","1,678","1,598","1,500",N,Y,N,Y,N,N
강서구,대성석유(주) 마곡대성주유소,서울 강서구 강서로 457,02-3664-7781,GS칼텍스,"1,916","1,676","1,618",,Y,N,N,N,N,N
강서구,대성석유(주)방화대성주유소,서울 강서구 양천로 176,02-3663-7781,GS칼텍스,"1,916","1,676","1,598",,Y,Y,N,N,Y,N
강서구,대성주유소,서울 강서구 강서로 472,02-3661-6102,GS칼텍스,"1,918","1,698","1,638",,N,Y,N,Y,N,N
강서구,목화주유소,서울 강서구 국회대로 251 (화곡동),02-2654-4564,알뜰주유소,,"1,619","1,519",,Y,Y,N,N,N,N
강서구,박물관주유소,서울 강서구 양천로53길 97 (가양동),02-3665-5189,GS칼텍스,"1,898","1,748","1,668",,N,Y,N,Y,Y,N
강서구,세원제1주유소,서울 강서구 양천로 311 (가양동),02-3663-5151,SK에너지,,"1,688","1,628",,Y,Y,N,Y,N,N
강서구,스카이주유소,서울 강서구 개화동로 457 (방화동),02-2663-5146,S-OIL,"1,865","1,635","1,537",,Y,Y,N,N,Y,Y
강서구,신화곡주유소,서울 강서구 국회대로 71,02-2611-3161,S-OIL,,"1,685","1,595",,Y,Y,N,N,N,N
강서구,염창동주유소,서울 강서구 양천로 720 (염창동),02-3664-4134,SK에너지,,"1,935","1,860",,N,Y,N,N,N,N
강서구,오션네트웍스(주) 서울식물원지점,서울 강서구 양천로 300,02-3661-8829,SK에너지,"1,865","1,658","1,578",,Y,N,N,N,N,N
강서구,우장산주유소,서울 강서구 강서로 292 (내발산동),02-3664-7163,SK에너지,"1,895","1,675","1,598",,Y,N,N,N,N,N
강서구,유턴주유소,서울 강서구 남부순환로 57,02-2665-5047,알뜰주유소,,"1,609","1,519","1,450",Y,N,N,N,N,N
강서구,이케이에너지(주) 강서주유소,서울 강서구 화곡로 273 (화곡동),02-2699-5219,HD현대오일뱅크,,"1,593","1,495",,Y,Y,N,Y,N,N
강서구,지에스칼텍스㈜ 경인고속주유소,서울 강서구 국회대로 225 (화곡동),02-2608-5151,GS칼텍스,"1,819","1,619","1,519","1,600",Y,Y,Y,Y,N,Y
강서구,참솔에너지,서울 강서구 벌말로 281 (오곡동),070-8844-8282,S-OIL,,"1,865","1,765",,Y,Y,N,N,N,N
강서구,코리나(주)청룡주유소,서울 강서구 양천로 576,02-3661-1575,SK에너지,,"1,768","1,668","1,600",N,Y,N,N,N,N
강서구,하이웨이주유소,서울특별시 강서구 공항대로 432(화곡동),02-2605-4000,S-OIL,"1,798","1,648","1,565",,Y,Y,N,N,Y,Y
강서구,행촌에너지 공항주유소,서울 강서구 개화동로 420 (개화동),02-2665-5189,HD현대오일뱅크,,"1,635","1,537",,Y,Y,N,Y,Y,Y
강서구,현대오일뱅크 등촌주유소,서울 강서구 등촌로 189 (등촌동),02-2647-5700,HD현대오일뱅크,,"1,636","1,546",,N,Y,N,N,N,N
강서구,화곡역주유소,서울 강서구 강서로 154 (화곡동),02-2691-5151,알뜰주유소,,"1,593","1,495",,Y,N,N,N,N,Y
강서구,화곡현대주유소,서울 강서구 강서로 151 (화곡동),02-2607-1942,SK에너지,"1,896","1,666","1,586",,Y,Y,N,N,N,Y
관악구,(주)엠오티이엔지 직영 삼화주유소,서울 관악구 보라매로 41,02-889-8929,HD현대오일뱅크,,"1,639","1,539",,N,N,N,N,N,N
관악구,(주)연우에너지 신관주유소,서울 관악구 신림로 290 (신림동),02-871-1356,알뜰주유소,,"1,639","1,539","1,500",Y,Y,N,N,N,N
관악구,(주)한유에너지행운셀프주유소,서울 관악구 남부순환로 1883 (봉천동),02-871-5189,SK에너지,"2,045","1,665","1,565",,Y,Y,N,N,N,N
관악구,CJ대한통운㈜ 신림주유소,서울 관악구 남부순환로 1515 (신림동),02-2632-8612,GS칼텍스,,"1,798","1,698",,N,Y,N,N,N,N
관악구,HD현대오일뱅크㈜직영 관악셀프주유소,서울 관악구 남부순환로 1520 (신림동),02-867-1877,HD현대오일뱅크,"1,989","1,684","1,564",,Y,N,N,N,N,N
관악구,HD현대오일뱅크㈜직영 문성골주유소,서울 관악구 문성로 97 (신림동),02-839-0081,HD현대오일뱅크,,"1,669","1,554","1,500",N,Y,N,N,N,N
관악구,SK에너지(주) 신봉천,서울 관악구 남부순환로 1880 (봉천동),02-885-5189,SK에너지,"1,834","1,679","1,580","1,450",N,Y,N,N,Y,N
관악구,SK에너지(주)직영 대공원주유소,서울 관악구 과천대로 921 (남현동),02-584-2522,SK에너지,"1,834","1,679","1,580",,N,Y,N,Y,Y,N
관악구,관악시몬주유소,서울특별시 관악구 남부순환로 1753 (봉천동),02-874-5185,S-OIL,,"1,735","1,625",,N,Y,N,N,N,N
관악구,대양석유(주)직영 보라매주유소,서울 관악구  보라매로 26 (봉천동),02-882-5189,SK에너지,,"1,654","1,554",,Y,Y,N,N,N,N
관악구,서일석유(주)락성주유소,서울 관악구 남부순환로 1920 (봉천동),02-877-0867,GS칼텍스,"1,845","1,675","1,575","1,450",Y,Y,N,Y,N,Y
관악구,유림주유소,서울 관악구 신림로 176 (신림동),02-887-5145,S-OIL,,"1,688","1,588","1,598",N,Y,N,Y,N,Y
관악구,지에스칼텍스㈜ 난곡주유소,서울 관악구 난곡로 206,02-858-2003,GS칼텍스,,"1,879","1,769",,N,N,N,N,N,N
관악구,현대주유소,서울 관악구 난곡로 108 (신림동),02-851-9200,HD현대오일뱅크,,"1,669","1,569",,N,N,N,N,N,N
광진구,(주)장수주유소,서울 광진구 동일로 266 (군자동),02-498-1981,SK에너지,,"1,617","1,517",,Y,N,N,Y,N,Y
광진구,(주)창원CW,서울 광진구 광나루로 460 (화양동),02-3436-1112,HD현대오일뱅크,,"1,619","1,515",,Y,Y,N,N,N,N
광진구,HD현대오일뱅크㈜직영 능동주유소,서울 광진구 천호대로 584 (능동),02-452-7723,HD현대오일뱅크,"1,875","1,619","1,515","1,490",Y,Y,N,Y,N,Y
광진구,HD현대오일뱅크㈜직영 장호셀프주유소,서울 광진구 자양로 37 (자양동),02-447-9796,HD현대오일뱅크,,"1,628","1,535",,Y,Y,N,Y,N,N
광진구,HD현대오일뱅크㈜직영 중곡현대주유소,서울 광진구 동일로 435 (중곡동),02-497-5151,HD현대오일뱅크,"1,895","1,628","1,529",,Y,Y,N,N,N,N
광진구,HD현대오일뱅크㈜직영 중원셀프주유소,서울 광진구 동일로 398 (중곡동),02-467-2410,HD현대오일뱅크,"1,875","1,628","1,529","1,570",Y,Y,N,N,N,N
광진구,강평주유소 ㈜강평텔레콤,서울 광진구 아차산로 616,02-2201-0736,SK에너지,"2,057","1,848","1,747","1,598",N,Y,N,N,N,N
광진구,대원주유소,서울 광진구 용마산로 122 (중곡동),02-444-1666,S-OIL,,"1,625","1,525",,N,N,N,N,N,N
광진구,삼호주유소,서울 광진구 천호대로 809 (광장동),02-455-7200,S-OIL,"1,977","1,697","1,627",,Y,Y,N,N,N,Y
광진구,용마주유소,서울 광진구 용마산로 68 (중곡동),02-456-1884,GS칼텍스,,"1,625","1,525",,N,N,N,N,N,N
광진구,유니스에너지 자양주유소,서울 광진구 아차산로 298 (자양동),02-457-7600,SK에너지,"1,998","1,748","1,648",,N,Y,N,N,N,N
광진구,정해네트웍스(주)일진주유소,서울 광진구 동일로 413 (중곡동),02-461-5152,S-OIL,"1,847","1,667","1,567",,Y,Y,N,N,N,Y
구로구,(주)서울에너지 궁동주유소,서울 구로구 오리로 1299 (궁동),070-8671-2981,HD현대오일뱅크,"1,799","1,592","1,494",,Y,N,N,N,N,N
구로구,(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),02-861-5189,GS칼텍스,,"1,615","1,525",,Y,Y,N,Y,N,N
구로구,HD현대오일뱅크㈜직영 구로셀프주유소,서울 구로구 시흥대로 531,02-856-1135,HD현대오일뱅크,"1,829","1,684","1,564",,Y,Y,N,Y,N,Y
구로구,HD현대오일뱅크㈜직영 신구로주유소,서울 구로구 가마산로 293 (구로동),02-859-0051,HD현대오일뱅크,"1,875","1,674","1,583",,N,Y,N,N,N,N
구로구,SK구로주유소,서울 구로구 구일로 94 (구로동),02-868-5758,SK에너지,"1,799","1,634","1,534",,N,Y,N,N,N,N
구로구,SK에너지(주)직영 개봉동주유소,서울 구로구 경인로 290 (개봉동),02-2616-5189,SK에너지,,"1,659","1,584","1,560",N,Y,N,N,N,N
구로구,㈜자연에너지 고척주유소,서울 구로구 고척로 199 (고척동),070-8671-3106,HD현대오일뱅크,"1,799","1,592","1,494",,Y,Y,N,N,N,N
구로구,개봉주유소,서울 구로구 고척로 115 (개봉동),02-2618-5145,HD현대오일뱅크,,"1,592","1,494",,Y,Y,N,N,N,N
구로구,구로주유소,서울 구로구 구로동로 137 (구로동),02-857-1251,GS칼텍스,,"2,240","2,140","1,840",N,N,N,N,N,N
구로구,구인주유소,서울 구로구 경인로 558 (구로동),02-2677-5010,SK에너지,,"1,634","1,534","1,650",N,Y,N,Y,Y,N
구로구,극동유화(주) 항동주유소,서울 구로구 서해안로 2154 (항동),02-2611-1113,S-OIL,,"1,619","1,519",,Y,Y,N,N,N,N
구로구,대성산업(주)디큐브주유소,서울 구로구 경인로 650 (신도림동),02-2633-7188,GS칼텍스,"1,819","1,635","1,525",,N,N,N,N,N,Y
구로구,대원셀프주유소,서울 구로구 개봉로 7,02-2612-3880,HD현대오일뱅크,,"1,625","1,525",,Y,Y,N,N,N,N
구로구,동아주유소,서울 구로구 도림로 91 (구로동),02-855-1282,S-OIL,,"1,898","1,698","1,698",N,N,N,N,Y,N
구로구,서서울고속주유소,서울 구로구 경인로 150 (오류동),02-2683-1126,SK에너지,"1,779","1,592","1,494",,Y,Y,N,N,N,Y
구로구,신성주유소,서울 구로구 구로동로 187 (구로제2동),02-866-5189,HD현대오일뱅크,,"1,615","1,525",,Y,Y,N,N,N,N
구로구,씨앤에스유통(주) 구로드림주유소,서울 구로구 경인로 41 (온수동),02-2611-5180,S-OIL,,"1,615","1,515",,Y,Y,N,N,N,N
구로구,영진주유소,서울 구로구 구로동로 20 (가리봉동),02-861-6625,S-OIL,,"1,759","1,659",,N,N,N,N,N,N
금천구,(주)백운주유소,서울 금천구 시흥대로 282 (독산동),02-894-8521,알뜰주유소,,"1,614","1,514","1,500",Y,N,N,N,N,N
금천구,(주)화동유업 화동주유소,서울 금천구 시흥대로 484,02-856-0283,SK에너지,,"1,613","1,513","1,500",Y,Y,N,N,N,N
금천구,HD현대오일뱅크㈜직영 금천현대셀프주유소,서울 금천구 독산로 147 (시흥동),02-891-5189,HD현대오일뱅크,"1,829","1,644","1,539",,Y,Y,N,N,N,N
금천구,SK에너지(주) 박미주유소,서울 금천구 시흥대로 39-7 (시흥동),02-802-6749,SK에너지,"1,825","1,675","1,575","1,500",Y,N,N,N,N,N
금천구,SK에너지(주) 이가주유소,서울 금천구 시흥대로 441,02-861-2241,SK에너지,"1,829","1,675","1,575","1,500",N,Y,N,Y,N,N
금천구,구광주유소,서울 금천구 서부샛길 674 (가산동),02-868-6889,S-OIL,,"1,615","1,515","1,450",N,Y,N,N,N,N
금천구,남서울경복에너지,서울 금천구 독산로 257 (독산동),02-855-9880,HD현대오일뱅크,,"1,675","1,575","1,500",Y,N,N,N,N,N
금천구,대득에너지(금천셀프주유소),서울 금천구  시흥대로 81 (시흥동),02-805-7888,GS칼텍스,"1,815","1,665","1,565",,Y,Y,N,N,Y,Y
금천구,백산주유소,서울특별시 금천구  시흥대로 174 (시흥동),02-807-3161,S-OIL,,"1,685","1,595",,Y,Y,N,Y,N,N
금천구,지에스칼텍스(주)일신주유소,서울 금천구 시흥대로 118,02-896-5145,GS칼텍스,"1,895","1,695","1,595","1,650",Y,Y,N,N,N,N
금천구,현대오일뱅크㈜직영 금천제일주유소,서울 금천구 남부순환로 1410 (독산동),02-859-5426,HD현대오일뱅크,,"1,689","1,569",,N,Y,N,N,N,N
노원구,(주)소모 수락산셀프주유소,서울 노원구 동일로 1772,02-3392-5656,GS칼텍스,,"1,685","1,585","1,600",Y,N,N,N,N,N
노원구,(주)정건에너지직영,서울 노원구 노원로17길 29 (하계동),02-975-1386,HD현대오일뱅크,"1,895","1,625","1,535",,Y,Y,N,N,N,N
노원구,SK에너지㈜직영 상계주유소,서울 노원구 노해로 527 (상계동),02-930-5151,SK에너지,,"1,679","1,579",,N,Y,N,N,N,N
노원구,구도일주유소 불암,서울 노원구 한글비석로 268 (중계동),02-932-6850,S-OIL,,"1,640","1,543",,Y,Y,N,N,N,N
노원구,삼육주유소,서울 노원구 화랑로 822 (공릉동),02-949-3677,SK에너지,,"1,635","1,535","1,500",Y,Y,N,N,N,N
노원구,상계동주유소,서울 노원구 노원로26길 191 (상계동),02-936-5035,HD현대오일뱅크,,"1,660","1,575","1,570",N,N,N,Y,N,N
노원구,성북역주유소,서울 노원구 광운로 95 (월계동),02-919-8141,GS칼텍스,"1,958","1,658","1,558",,N,Y,N,N,N,N
노원구,신성주유소,서울 노원구 월계로 328 (월계동),02-916-4334,S-OIL,,"1,688","1,588",,Y,Y,N,N,N,Y
노원구,월계주유소,서울 노원구 월계로 252 (월계동),02-917-7650,GS칼텍스,"1,949","1,615","1,515",,Y,Y,N,Y,N,N
노원구,이엠석유(주)배꽃나라주유소,서울 노원구 화랑로 466 (공릉1동),02-973-5172,GS칼텍스,"1,925","1,625","1,525",,Y,Y,N,Y,N,N
노원구,태릉솔밭주유소,서울 노원구 노원로 49 (공릉동),02-976-5189,S-OIL,"1,935","1,645","1,555",,Y,Y,N,N,N,Y
노원구,하계삼호주유소,서울 노원구 공릉로 294 (하계동),02-974-8818,GS칼텍스,,"1,755","1,695",,N,N,N,Y,N,N
노원구,한신주유소,서울 노원구 동일로 1089 (공릉동),02-974-5151,S-OIL,"1,930","1,635","1,545","1,600",Y,Y,N,N,N,N
노원구,화랑대주유소,서울 노원구 화랑로 483,02-977-9697,HD현대오일뱅크,"2,070","1,635","1,545","1,600",Y,Y,N,N,N,N
도봉구,(주)쌍문셀프주유소,서울 도봉구 노해로 161 (쌍문동),02-998-9704,HD현대오일뱅크,,"1,619","1,519","1,400",Y,Y,N,Y,N,N
도봉구,(주)자연에너지 햇살주유소,서울 도봉구 방학로 142 (방학동),02-954-4555,HD현대오일뱅크,"1,859","1,599","1,504",,Y,Y,N,N,N,N
도봉구,(주)헨지스에너지 구도일주유소 도봉,서울 도봉구 도봉로 706 (방학동),02-3491-3454,S-OIL,,"1,615","1,515",,Y,Y,N,Y,N,N
도봉구,HD현대오일뱅크㈜직영 영신주유소,서울 도봉구 방학로 151,02-956-5152,HD현대오일뱅크,"2,157","1,727","1,637","1,429",N,Y,N,N,N,N
도봉구,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),02-906-5104,S-OIL,,"1,627","1,527","1,430",Y,N,N,N,N,N
도봉구,극동유화(주) 대안주유소,서울 도봉구 마들로 574 (창동),02-996-6640,S-OIL,,"1,619","1,519",,Y,Y,N,Y,N,N
도봉구,노원교주유소,서울 도봉구 마들로 776 (도봉동),02-956-5189,HD현대오일뱅크,,"1,635","1,535","1,390",Y,Y,N,N,N,N
도봉구,대성산업(주)신창주유소,서울 도봉구 덕릉로 267 (창동),02-905-4441,GS칼텍스,,"1,645","1,545",,Y,Y,N,N,N,Y
도봉구,도봉제일주유소(주)송만에너지,서울 도봉구 도봉로 783 (도봉동),02-955-5185,HD현대오일뱅크,,"1,599","1,504","1,360",N,N,N,N,N,N
도봉구,동일석유(주) 창동주유소,서울 도봉구  도봉로 434 (창동),02-902-5544,SK에너지,,"1,637","1,537",,Y,Y,N,Y,N,N
도봉구,삼미북부셀프주유소,서울 도봉구 도봉로 437 (쌍문동),02-992-5561,SK에너지,,"1,599","1,504",,Y,Y,N,N,N,Y
도봉구,오복주유소,서울 도봉구 방학로 43,02-3494-1500,S-OIL,"2,300","1,659","1,597","1,700",Y,Y,N,N,N,Y
도봉구,이케이에너지 주식회사,서울 도봉구 도봉로 941 (도봉동),02-3494-3641,HD현대오일뱅크,,"1,590","1,495",,Y,Y,N,N,N,N
도봉구,지에스칼텍스㈜ 도봉주유소,서울 도봉구 도봉로 895 (도봉동),02-954-0118,GS칼텍스,"1,859","1,609","1,509","1,375",Y,Y,Y,Y,N,Y
도봉구,지에스칼텍스㈜ 방학동주유소,서울 도봉구 방학로 186,02-3493-5189,GS칼텍스,"1,859","1,609","1,509","1,395",Y,Y,N,N,N,N
도봉구,한이에너지(주) 쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),02-992-0220,S-OIL,,"1,599","1,504",,Y,Y,N,Y,N,Y
